postcode,name,id,typeOf,containedInPlace
N081,Opposing Nora Street,_:fictional/place/opposing-nora-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N082,Utter Aethra Street,_:fictional/place/utter-aethra-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N083,Trusting Prudentia Street,_:fictional/place/trusting-prudentia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N084,Shoestring Erda Street,_:fictional/place/shoestring-erda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N085,Open-ended Zelima Street,_:fictional/place/open-ended-zelima-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N086,Sparing Leopoldina Street,_:fictional/place/sparing-leopoldina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N087,Dulled Hildegard Street,_:fictional/place/dulled-hildegard-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N088,Metering Aletheia Street,_:fictional/place/metering-aletheia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N089,Trying Seeligeria Street,_:fictional/place/trying-seeligeria-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N090,Hand-held Kilia Street,_:fictional/place/hand-held-kilia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N091,Saute Rhea Street,_:fictional/place/saute-rhea-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N092,Trunk Tyche Street,_:fictional/place/trunk-tyche-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N093,Onward California Street,_:fictional/place/onward-california-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N094,Dried Eduarda Street,_:fictional/place/dried-eduarda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N095,Peevish Amicitia Street,_:fictional/place/peevish-amicitia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N096,Shivering Jokaste Street,_:fictional/place/shivering-jokaste-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N097,Onstage Pyrrha Street,_:fictional/place/onstage-pyrrha-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N098,Spanking Gunhild Street,_:fictional/place/spanking-gunhild-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N099,Prank Tiflis Street,_:fictional/place/prank-tiflis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N100,Peacekeeping Franzia Street,_:fictional/place/peacekeeping-franzia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N101,Insincere Budrosa Street,_:fictional/place/insincere-budrosa-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N102,Fuming Waltraut Street,_:fictional/place/fuming-waltraut-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N103,Memorable Corduba Street,_:fictional/place/memorable-corduba-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N104,Homesick Oppavia Street,_:fictional/place/homesick-oppavia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N105,Memorial Rosalinde Street,_:fictional/place/memorial-rosalinde-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N106,Short Vincentina Street,_:fictional/place/short-vincentina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N107,Sanctioned Ursina Street,_:fictional/place/sanctioned-ursina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N108,Insensible Claudia Street,_:fictional/place/insensible-claudia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N109,Frugal Theobalda Street,_:fictional/place/frugal-theobalda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N110,Tyrannical Christine Street,_:fictional/place/tyrannical-christine-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N111,Salient Erynia Street,_:fictional/place/salient-erynia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N112,Medley Padua Street,_:fictional/place/medley-padua-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N113,Hissy Clementina Street,_:fictional/place/hissy-clementina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N114,Melodic Brunsia Street,_:fictional/place/melodic-brunsia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N115,Double-blind Lacadiera Street,_:fictional/place/double-blind-lacadiera-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N116,Tailed Argentina Street,_:fictional/place/tailed-argentina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N117,Exulting Isara Street,_:fictional/place/exulting-isara-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N118,Dotted Parysatis Street,_:fictional/place/dotted-parysatis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N119,Unaided Papagena Street,_:fictional/place/unaided-papagena-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N120,Shipped Picka Street,_:fictional/place/shipped-picka-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N121,Safest Lina Street,_:fictional/place/safest-lina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N122,Ensconced Burnhamia Street,_:fictional/place/ensconced-burnhamia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N123,Specialized Laura Street,_:fictional/place/specialized-laura-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N124,Pastel Marianna Street,_:fictional/place/pastel-marianna-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N125,Unassisted Charis Street,_:fictional/place/unassisted-charis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N126,Graven Lameia Street,_:fictional/place/graven-lameia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N127,Synonymous Marlu Street,_:fictional/place/synonymous-marlu-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N128,Freelance Eukrate Street,_:fictional/place/freelance-eukrate-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N129,Sought Tisiphone Street,_:fictional/place/sought-tisiphone-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N130,Synchronized Carlova Street,_:fictional/place/synchronized-carlova-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N131,Unassuming Bouzareah Street,_:fictional/place/unassuming-bouzareah-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N132,Parental Rebekka Street,_:fictional/place/parental-rebekka-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N133,Monastic Bernardina Street,_:fictional/place/monastic-bernardina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N134,Nuanced Gutemberga Street,_:fictional/place/nuanced-gutemberga-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N135,Two-lane Crescentia Street,_:fictional/place/two-lane-crescentia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N136,Strapping Philia Street,_:fictional/place/strapping-philia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N137,Mated Megaira Street,_:fictional/place/mated-megaira-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N138,Exonerated Nealley Street,_:fictional/place/exonerated-nealley-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N139,Material Lola Street,_:fictional/place/material-lola-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N140,Existent Ninina Street,_:fictional/place/existent-ninina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N141,Occurring Berbericia Street,_:fictional/place/occurring-berbericia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N142,Fraudulent Lumiere Street,_:fictional/place/fraudulent-lumiere-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N143,Unattractive Gudrun Street,_:fictional/place/unattractive-gudrun-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N144,Parted Apollonia Street,_:fictional/place/parted-apollonia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N145,Shaken Rockefellia Street,_:fictional/place/shaken-rockefellia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N146,Noncommercial Hektor Street,_:fictional/place/noncommercial-hektor-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N147,Solid-state Probitas Street,_:fictional/place/solid-state-probitas-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N148,Excess Eugenisis Street,_:fictional/place/excess-eugenisis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N149,Fractional Germania Street,_:fictional/place/fractional-germania-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N150,Socialized Liguria Street,_:fictional/place/socialized-liguria-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N151,Uncapped Kriemhild Street,_:fictional/place/uncapped-kriemhild-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N152,Trial Herodias Street,_:fictional/place/trial-herodias-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N153,Disfigured Universitas Street,_:fictional/place/disfigured-universitas-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N154,Vanilla Gabriella Street,_:fictional/place/vanilla-gabriella-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N155,Roomful Kleopatra Street,_:fictional/place/roomful-kleopatra-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N156,Exasperated Messalina Street,_:fictional/place/exasperated-messalina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N157,Inert Georgia Street,_:fictional/place/inert-georgia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N158,Nitrous Hispania Street,_:fictional/place/nitrous-hispania-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N159,Treated Xenia Street,_:fictional/place/treated-xenia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N160,Rotating Adrastea Street,_:fictional/place/rotating-adrastea-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N161,Paced Lundia Street,_:fictional/place/paced-lundia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N162,Idealistic Eleonora Street,_:fictional/place/idealistic-eleonora-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N163,Robust Repsolda Street,_:fictional/place/robust-repsolda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N164,Roused Ruperto-Carola Street,_:fictional/place/roused-ruperto-carola-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N165,Lusty Hypatia Street,_:fictional/place/lusty-hypatia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N166,Smacking Eriphyla Street,_:fictional/place/smacking-eriphyla-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N167,Overworked Octavia Street,_:fictional/place/overworked-octavia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N168,Sexier Zeuxo Street,_:fictional/place/sexier-zeuxo-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N169,Incomprehensible Nestor Street,_:fictional/place/incomprehensible-nestor-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N170,Disabling Rhoda Street,_:fictional/place/disabling-rhoda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N171,Swooning Aguntina Street,_:fictional/place/swooning-aguntina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N172,Footy Honoria Street,_:fictional/place/footy-honoria-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N173,Smokeless Saskia Street,_:fictional/place/smokeless-saskia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N174,Sympathize Yrsa Street,_:fictional/place/sympathize-yrsa-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N175,Uncontrolled El Djezair Street,_:fictional/place/uncontrolled-el-djezair-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N176,Overboard Misa Street,_:fictional/place/overboard-misa-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N177,Mighty Chimaera Street,_:fictional/place/mighty-chimaera-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N178,Mythic Armor Street,_:fictional/place/mythic-armor-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N179,Uncomfortable Eleutheria Street,_:fictional/place/uncomfortable-eleutheria-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N180,Differentiated Sylvania Street,_:fictional/place/differentiated-sylvania-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N181,Foolhardy Nina Street,_:fictional/place/foolhardy-nina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N182,Traverse Alleghenia Street,_:fictional/place/traverse-alleghenia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N183,Sleepy Irmintraud Street,_:fictional/place/sleepy-irmintraud-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N184,Uncooked Deborah Street,_:fictional/place/uncooked-deborah-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N185,Inattentive Theresia Street,_:fictional/place/inattentive-theresia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N186,Foggy Scheila Street,_:fictional/place/foggy-scheila-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N187,Self-taught Pariana Street,_:fictional/place/self-taught-pariana-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N188,Segregated Ulla Street,_:fictional/place/segregated-ulla-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N189,Dictated Polyxena Street,_:fictional/place/dictated-polyxena-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N190,Fancier Buda Street,_:fictional/place/fancier-buda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N191,Reverend Hermentaria Street,_:fictional/place/reverend-hermentaria-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N192,Loudest Athamantis Street,_:fictional/place/loudest-athamantis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N193,Sleepless May Street,_:fictional/place/sleepless-may-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N194,Faltering Vindobona Street,_:fictional/place/faltering-vindobona-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N195,In-flight Bandusia Street,_:fictional/place/in-flight-bandusia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N196,Gibberish Notburga Street,_:fictional/place/gibberish-notburga-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N197,Reversing Marbachia Street,_:fictional/place/reversing-marbachia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N198,Devilish Nauheima Street,_:fictional/place/devilish-nauheima-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N199,Inbound Esther Street,_:fictional/place/inbound-esther-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N200,Muted Anneliese Street,_:fictional/place/muted-anneliese-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N201,Deviant Aida Street,_:fictional/place/deviant-aida-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N202,Devoted Tea Street,_:fictional/place/devoted-tea-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N203,Low-budget Philosophia Street,_:fictional/place/low-budget-philosophia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N204,Dropped Pauly Street,_:fictional/place/dropped-pauly-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N205,Flowing Agamemnon Street,_:fictional/place/flowing-agamemnon-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N206,Overheated Bathseba Street,_:fictional/place/overheated-bathseba-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N207,Underground Weringia Street,_:fictional/place/underground-weringia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N208,Mysterious Alinda Street,_:fictional/place/mysterious-alinda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N209,Veering Agathe Street,_:fictional/place/veering-agathe-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N210,Senior Pompeja Street,_:fictional/place/senior-pompeja-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N211,Impulsive Tanete Street,_:fictional/place/impulsive-tanete-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N212,Vaunted Washingtonia Street,_:fictional/place/vaunted-washingtonia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N213,Draining Adelinda Street,_:fictional/place/draining-adelinda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N214,Semiautomatic Hamiltonia Street,_:fictional/place/semiautomatic-hamiltonia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N215,Second-best Henrietta Street,_:fictional/place/second-best-henrietta-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N216,Transformed Backlunda Street,_:fictional/place/transformed-backlunda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N217,Retaliatory Desiderata Street,_:fictional/place/retaliatory-desiderata-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N218,Destitute Helwerthia Street,_:fictional/place/destitute-helwerthia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N219,Impressionable Glasenappia Street,_:fictional/place/impressionable-glasenappia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N220,Flickering Maritima Street,_:fictional/place/flickering-maritima-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
